ID,Title,Author,Year,Format,File
1,Aku Ini Binatang Jalang,Chairil Anwwar,1942-1949,PDF,ebook/Aku Ini Binatang Jalang.pdf
2,Anak Semua Bangsa, Pramoedya Ananta Toer,1980,PDF,ebook/Anak Semua Bangsa.pdf
3,Dunia Sophie,Jostein Gaarder,1991,PDF,ebook/Dunia Sophie.pdf
4,Hujan Bulan Juni,Sapardi Djoko Damono,1994,PDF,ebook/Hujan Bulan Juni.pdf
5,Jejak Langkah,Pramoedya Ananta Toer,1985,PDF,ebook/Jejak Langkah.pdf
6,Beyond The Bookshelf: Virtual Reality as a Tool for Library Design and Interactive Tours,Prof. Dr. Tengku,2025,PDF,ebook/Kuliah Umum.pdf
7,Laut Bercerita,Leila S. Chudori,2017,PDF,ebook/Laut Bercerita.pdf
8,Lekra vs Manikebu,Alexander Supartono,2000,PDF,ebook/Lekra vs Manikebu,pdf
9,Bumi Manusia,Pramoedya Ananta Toer,1980,PDF,ebook/Pramoedya Ananta Toer_Bumi Manusia.pdf
10,Rumah Kaca,Pramoedya Ananta Toer,1988,PDF,ebook/Rumah Kaca.pdf
